"Dstat 0.7.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","localhost.localdomain",,,,"User:","root"
"Cmdline:","dstat -cmnr --socket --output r_err_protocol_sys_stat.csv",,,,"Date:","31 Oct 2014 04:52:29 CST"

"total cpu usage",,,,,,"memory usage",,,,"net/total",,"io/total",,"sockets",,,,
5.013,1.754,93.233,0.0,0.0,0.0,534622208.0,316567552.0,707969024.0,2192547840.0,2008.0,672.0,0.0,3.0,788.0,21.0,7.0,0.0,0.0
3.759,1.003,94.737,0.501,0.0,0.0,534614016.0,316575744.0,707969024.0,2192547840.0,1592.0,264.0,0.0,3.0,788.0,21.0,7.0,0.0,0.0
6.015,1.504,91.980,0.501,0.0,0.0,534634496.0,316583936.0,708194304.0,2192293888.0,4513.0,1788.0,0.0,3.0,788.0,21.0,7.0,0.0,0.0
4.250,1.250,94.500,0.0,0.0,0.0,534597632.0,316583936.0,708231168.0,2192293888.0,1796.0,594.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
7.538,1.508,90.955,0.0,0.0,0.0,534675456.0,316583936.0,706883584.0,2193563648.0,1916.0,594.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.738,1.496,93.766,0.0,0.0,0.0,534675456.0,316583936.0,706883584.0,2193563648.0,1024.0,78.0,0.0,2.0,788.0,21.0,7.0,0.0,0.0
3.518,1.256,95.226,0.0,0.0,0.0,534700032.0,316583936.0,706859008.0,2193563648.0,2438.0,594.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
3.258,1.253,93.985,1.504,0.0,0.0,534290432.0,316600320.0,706744320.0,2194071552.0,1704.0,594.0,0.0,9.0,788.0,21.0,7.0,0.0,0.0
6.250,1.750,92.0,0.0,0.0,0.0,534372352.0,316600320.0,706662400.0,2194071552.0,1732.0,594.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
7.769,1.504,90.727,0.0,0.0,0.0,534499328.0,316600320.0,706662400.0,2193944576.0,1612.0,594.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.0,1.250,94.750,0.0,0.0,0.0,534519808.0,316600320.0,706641920.0,2193944576.0,660.0,0.0,0.0,0.0,788.0,21.0,7.0,0.0,0.0
4.261,1.253,94.486,0.0,0.0,0.0,534519808.0,316600320.0,706641920.0,2193944576.0,2125.0,746.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
4.010,1.504,93.734,0.752,0.0,0.0,534302720.0,316608512.0,707993600.0,2192801792.0,4394.0,1788.0,0.0,4.0,789.0,21.0,8.0,0.0,0.0
6.250,1.500,91.750,0.500,0.0,0.0,534163456.0,316616704.0,708124672.0,2192801792.0,2797.0,528.0,0.0,3.0,789.0,21.0,8.0,0.0,0.0
7.286,1.256,91.457,0.0,0.0,0.0,534286336.0,316616704.0,708255744.0,2192547840.0,2188.0,672.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
5.779,1.005,93.216,0.0,0.0,0.0,533364736.0,316616704.0,706891776.0,2194833408.0,2166.0,750.0,0.0,7.0,789.0,21.0,8.0,0.0,0.0
4.750,1.250,94.0,0.0,0.0,0.0,533446656.0,316616704.0,706809856.0,2194833408.0,1732.0,712.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
4.0,1.250,94.250,0.500,0.0,0.0,533749760.0,316624896.0,706752512.0,2194579456.0,2124.0,672.0,0.0,6.0,789.0,21.0,8.0,0.0,0.0
3.258,1.253,95.489,0.0,0.0,0.0,533831680.0,316624896.0,706670592.0,2194579456.0,2534.0,750.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
8.521,1.754,88.722,1.003,0.0,0.0,533315584.0,316633088.0,706670592.0,2195087360.0,2100.0,750.0,0.0,3.0,789.0,21.0,8.0,0.0,0.0
4.271,1.256,94.472,0.0,0.0,0.0,533331968.0,316633088.0,706654208.0,2195087360.0,2072.0,594.0,0.0,3.0,789.0,21.0,8.0,0.0,0.0
3.990,1.247,94.763,0.0,0.0,0.0,533843968.0,316633088.0,706658304.0,2194571264.0,2894.0,884.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
3.769,1.508,94.221,0.503,0.0,0.0,533880832.0,316641280.0,708009984.0,2193174528.0,6409.0,1846.0,0.0,7.0,789.0,21.0,8.0,0.0,0.0
5.013,1.253,93.734,0.0,0.0,0.0,533852160.0,316641280.0,708165632.0,2193047552.0,12803.0,1333.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
9.750,2.0,88.250,0.0,0.0,0.0,534278144.0,316641280.0,708247552.0,2192539648.0,8915.0,1266.0,0.0,0.0,789.0,21.0,8.0,0.0,0.0
4.020,1.005,93.719,1.256,0.0,0.0,534261760.0,316653568.0,708251648.0,2192539648.0,7656.0,594.0,0.0,10.0,789.0,21.0,8.0,0.0,0.0
4.250,1.750,94.0,0.0,0.0,0.0,534872064.0,316653568.0,706879488.0,2193301504.0,2681.0,732.0,0.0,0.0,789.0,20.0,8.0,0.0,0.0
4.500,1.500,93.250,0.750,0.0,0.0,535060480.0,316661760.0,706809856.0,2193174528.0,2408.0,594.0,0.0,8.0,789.0,20.0,8.0,0.0,0.0
4.523,1.005,94.472,0.0,0.0,0.0,534806528.0,316661760.0,706809856.0,2193428480.0,3050.0,714.0,0.0,0.0,789.0,20.0,8.0,0.0,0.0
7.731,1.746,90.524,0.0,0.0,0.0,534945792.0,316661760.0,706670592.0,2193428480.0,4172.0,1188.0,0.0,0.0,789.0,20.0,8.0,0.0,0.0
5.542,1.511,92.947,0.0,0.0,0.0,534962176.0,316661760.0,706654208.0,2193428480.0,2823.0,1041.0,0.0,1.0,788.0,19.0,8.0,0.0,0.0
4.010,1.253,93.734,1.003,0.0,0.0,535072768.0,316669952.0,706662400.0,2193301504.0,3178.0,810.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.511,1.253,93.734,0.501,0.0,0.0,534474752.0,316678144.0,708014080.0,2192539648.0,3552.0,1508.0,0.0,5.0,786.0,18.0,7.0,0.0,0.0
4.523,1.256,94.221,0.0,0.0,0.0,534417408.0,316678144.0,708198400.0,2192412672.0,3396.0,1398.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.769,1.504,90.727,0.0,0.0,0.0,534519808.0,316678144.0,708222976.0,2192285696.0,2594.0,948.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.250,1.500,90.500,0.750,0.0,0.0,534552576.0,316686336.0,708182016.0,2192285696.0,2584.0,660.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
5.013,1.754,93.233,0.0,0.0,0.0,534794240.0,316686336.0,707940352.0,2192285696.0,3390.0,1266.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.266,1.256,93.467,2.010,0.0,0.0,534560768.0,316702720.0,708030464.0,2192412672.0,2788.0,726.0,0.0,11.0,787.0,19.0,7.0,0.0,0.0
4.0,1.250,94.750,0.0,0.0,0.0,534786048.0,316702720.0,706662400.0,2193555456.0,3058.0,1122.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.769,2.005,90.226,0.0,0.0,0.0,534069248.0,316702720.0,708014080.0,2192920576.0,2596.0,1026.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.0,1.250,93.750,0.0,0.0,0.0,534257664.0,316702720.0,707952640.0,2192793600.0,2828.0,738.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
7.286,1.759,90.955,0.0,0.0,0.0,534032384.0,316702720.0,708177920.0,2192793600.0,3048.0,1188.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.663,2.475,88.119,0.743,0.0,0.0,535838720.0,316710912.0,708141056.0,2191015936.0,4735.0,1842.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
5.486,1.746,92.269,0.499,0.0,0.0,535384064.0,316719104.0,709222400.0,2190381056.0,2928.0,1266.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
8.728,2.244,89.027,0.0,0.0,0.0,536281088.0,316719104.0,707817472.0,2190888960.0,2532.0,1134.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.514,1.504,92.982,0.0,0.0,0.0,536821760.0,316719104.0,707149824.0,2191015936.0,2274.0,816.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
7.750,2.0,90.250,0.0,0.0,0.0,536068096.0,316719104.0,708157440.0,2190761984.0,3016.0,1266.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
3.741,1.496,94.015,0.748,0.0,0.0,536207360.0,316727296.0,708009984.0,2190761984.0,2355.0,750.0,0.0,8.0,787.0,19.0,7.0,0.0,0.0
5.0,1.500,93.500,0.0,0.0,0.0,536416256.0,316727296.0,706658304.0,2191904768.0,3466.0,1344.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.291,1.256,89.950,0.503,0.0,0.0,536518656.0,316735488.0,706674688.0,2191777792.0,2744.0,1188.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
5.0,1.500,93.500,0.0,0.0,0.0,536412160.0,316735488.0,706654208.0,2191904768.0,1732.0,594.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
4.250,1.500,94.250,0.0,0.0,0.0,536412160.0,316735488.0,706654208.0,2191904768.0,3047.0,1236.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.983,1.496,90.274,0.998,0.0,0.249,536334336.0,316743680.0,707993600.0,2190635008.0,3901.0,1722.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
5.263,1.504,93.233,0.0,0.0,0.0,536301568.0,316743680.0,708153344.0,2190508032.0,2714.0,1224.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.750,2.0,90.250,0.0,0.0,0.0,536432640.0,316743680.0,706879488.0,2191650816.0,3014.0,1056.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.0,1.250,92.750,1.0,0.0,0.0,536535040.0,316751872.0,706641920.0,2191777792.0,3038.0,1068.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
4.774,1.759,93.467,0.0,0.0,0.0,536375296.0,316751872.0,706674688.0,2191904768.0,3020.0,1344.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.018,1.504,90.727,0.752,0.0,0.0,536162304.0,316760064.0,708022272.0,2190761984.0,1834.0,672.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
4.762,1.253,93.985,0.0,0.0,0.0,536244224.0,316760064.0,708067328.0,2190635008.0,2640.0,1134.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.750,1.750,89.500,0.0,0.0,0.0,536322048.0,316760064.0,706719744.0,2191904768.0,2820.0,1134.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.282,1.511,94.207,0.0,0.0,0.0,536391680.0,316760064.0,706650112.0,2191904768.0,2700.0,1134.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
4.489,1.247,93.766,0.499,0.0,0.0,536399872.0,316768256.0,706633728.0,2191904768.0,2738.0,1134.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.020,1.256,93.216,1.508,0.0,0.0,536313856.0,316776448.0,707981312.0,2190635008.0,3223.0,1310.0,0.0,6.0,785.0,17.0,7.0,0.0,0.0
7.519,1.504,90.977,0.0,0.0,0.0,536358912.0,316776448.0,708063232.0,2190508032.0,3470.0,1484.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.020,1.754,90.226,0.0,0.0,0.0,536973312.0,316776448.0,706940928.0,2191015936.0,2614.0,1056.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.738,1.746,93.516,0.0,0.0,0.0,537063424.0,316776448.0,706723840.0,2191142912.0,2456.0,1002.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
5.250,1.500,93.250,0.0,0.0,0.0,537042944.0,316776448.0,706744320.0,2191142912.0,2776.0,1068.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.774,1.005,93.216,1.005,0.0,0.0,537108480.0,316792832.0,706662400.0,2191142912.0,3224.0,1212.0,0.0,7.0,787.0,19.0,7.0,0.0,0.0
6.266,1.754,91.980,0.0,0.0,0.0,536252416.0,316792832.0,708026368.0,2190635008.0,3202.0,1212.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.500,1.500,90.0,0.0,0.0,0.0,536489984.0,316792832.0,708042752.0,2190381056.0,2866.0,1290.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.533,1.508,91.960,0.0,0.0,0.0,534052864.0,316792832.0,706670592.0,2194190336.0,2940.0,1134.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
5.500,1.750,92.750,0.0,0.0,0.0,534196224.0,316792832.0,706654208.0,2194063360.0,2640.0,1134.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.486,1.746,92.020,0.748,0.0,0.0,533471232.0,316801024.0,708005888.0,2193428480.0,6119.0,2700.0,0.0,6.0,787.0,19.0,7.0,0.0,0.0
5.263,1.253,93.233,0.251,0.0,0.0,533553152.0,316809216.0,708169728.0,2193174528.0,3214.0,1320.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
8.772,1.754,89.474,0.0,0.0,0.0,533602304.0,316809216.0,708247552.0,2193047552.0,2748.0,1266.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.0,1.750,93.250,0.0,0.0,0.0,533626880.0,316809216.0,707969024.0,2193301504.0,3482.0,1422.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
5.500,1.500,93.0,0.0,0.0,0.0,534106112.0,316809216.0,707997696.0,2192793600.0,3186.0,1122.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.271,1.005,93.970,0.754,0.0,0.0,534360064.0,316817408.0,707989504.0,2192539648.0,3298.0,1398.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
3.500,1.250,95.250,0.0,0.0,0.0,534241280.0,316817408.0,707997696.0,2192650240.0,4092.0,1650.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
9.023,1.754,88.722,0.501,0.0,0.0,534245376.0,316825600.0,708001792.0,2192633856.0,3744.0,1212.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
4.500,1.250,94.250,0.0,0.0,0.0,534462464.0,316825600.0,708038656.0,2192379904.0,3296.0,1344.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.750,1.250,94.0,0.0,0.0,0.0,534372352.0,316825600.0,707985408.0,2192523264.0,2638.0,1344.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.239,1.496,93.267,0.998,0.0,0.0,534142976.0,316833792.0,708206592.0,2192523264.0,8116.0,2856.0,0.0,6.0,786.0,18.0,7.0,0.0,0.0
5.025,1.256,93.719,0.0,0.0,0.0,534384640.0,316833792.0,708218880.0,2192269312.0,14282.0,2269.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.020,2.005,89.975,0.0,0.0,0.0,534364160.0,316833792.0,708239360.0,2192269312.0,9018.0,1398.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.769,2.005,89.474,0.752,0.0,0.0,534261760.0,316841984.0,708206592.0,2192396288.0,9666.0,1926.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
5.750,1.750,92.500,0.0,0.0,0.0,534253568.0,316841984.0,707960832.0,2192650240.0,4803.0,1604.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.523,1.256,93.467,0.754,0.0,0.0,534339584.0,316850176.0,708120576.0,2192396288.0,4408.0,2004.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
6.015,1.504,92.481,0.0,0.0,0.0,534331392.0,316850176.0,708128768.0,2192396288.0,3826.0,1494.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.291,1.759,89.950,0.0,0.0,0.0,534466560.0,316850176.0,707993600.0,2192396288.0,3364.0,1266.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.750,2.0,90.250,0.0,0.0,0.0,533594112.0,316850176.0,707977216.0,2193285120.0,4528.0,2004.0,0.0,2.0,787.0,19.0,7.0,0.0,0.0
5.0,1.500,92.750,0.750,0.0,0.0,533839872.0,316858368.0,707977216.0,2193031168.0,3958.0,1506.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.261,1.754,93.484,0.501,0.0,0.0,533737472.0,316866560.0,708198400.0,2192904192.0,5722.0,2634.0,0.0,6.0,786.0,18.0,7.0,0.0,0.0
5.013,1.754,93.233,0.0,0.0,0.0,533954560.0,316866560.0,708235264.0,2192650240.0,3893.0,1674.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.250,1.750,90.0,0.0,0.0,0.0,534056960.0,316866560.0,708259840.0,2192523264.0,4196.0,1848.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.263,1.003,92.481,1.253,0.0,0.0,534081536.0,316874752.0,708227072.0,2192523264.0,4024.0,1686.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
8.271,2.005,89.724,0.0,0.0,0.0,534179840.0,316874752.0,708128768.0,2192523264.0,4850.0,2064.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.263,1.754,91.729,1.253,0.0,0.0,534159360.0,316891136.0,708005888.0,2192650240.0,4418.0,2028.0,0.0,10.0,787.0,19.0,7.0,0.0,0.0
5.013,1.253,93.734,0.0,0.0,0.0,533614592.0,316891136.0,708042752.0,2193158144.0,3542.0,1608.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.750,2.0,89.250,0.0,0.0,0.0,533655552.0,316891136.0,708001792.0,2193158144.0,3892.0,1848.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.750,1.750,92.500,0.0,0.0,0.0,533676032.0,316891136.0,707981312.0,2193158144.0,3198.0,1530.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.543,2.261,89.196,0.0,0.0,0.0,533798912.0,316891136.0,707985408.0,2193031168.0,4720.0,1926.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
7.848,1.266,89.873,1.013,0.0,0.0,533749760.0,316899328.0,708296704.0,2192760832.0,7027.0,3144.0,0.0,8.0,787.0,19.0,7.0,0.0,0.0
7.071,1.768,90.657,0.253,0.0,0.253,535314432.0,316907520.0,708644864.0,2190839808.0,4056.0,1488.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
7.809,1.511,90.680,0.0,0.0,0.0,535904256.0,316907520.0,707420160.0,2191474688.0,4004.0,1860.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.0,1.500,93.500,0.0,0.0,0.0,535805952.0,316907520.0,707010560.0,2191982592.0,4858.0,1860.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
5.514,1.504,92.982,0.0,0.0,0.0,535777280.0,316907520.0,706785280.0,2192236544.0,4060.0,1860.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.266,1.504,91.228,1.003,0.0,0.0,535859200.0,316915712.0,706678784.0,2192252928.0,4706.0,2094.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
4.250,1.500,94.250,0.0,0.0,0.0,535851008.0,316915712.0,706686976.0,2192252928.0,3361.0,1266.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.521,1.754,88.972,0.752,0.0,0.0,535838720.0,316923904.0,706691072.0,2192252928.0,4254.0,1938.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
5.764,1.504,92.732,0.0,0.0,0.0,535724032.0,316923904.0,706678784.0,2192379904.0,4308.0,1950.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.750,1.500,92.750,0.0,0.0,0.0,535724032.0,316923904.0,706678784.0,2192379904.0,4216.0,2004.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
6.533,2.010,90.704,0.754,0.0,0.0,535388160.0,316932096.0,708022272.0,2191364096.0,6087.0,3124.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
5.237,1.496,93.267,0.0,0.0,0.0,535220224.0,316932096.0,708190208.0,2191364096.0,4196.0,1992.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.543,1.508,89.950,0.0,0.0,0.0,535732224.0,316932096.0,706916352.0,2192125952.0,4130.0,1926.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
5.263,1.504,91.980,1.253,0.0,0.0,536010752.0,316940288.0,706678784.0,2192076800.0,3946.0,1848.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
5.025,1.256,93.719,0.0,0.0,0.0,536109056.0,316940288.0,706707456.0,2191949824.0,3526.0,1620.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
4.250,1.500,93.750,0.500,0.0,0.0,536154112.0,316948480.0,706670592.0,2191933440.0,4652.0,2106.0,0.0,5.0,787.0,19.0,7.0,0.0,0.0
7.286,1.759,89.950,1.005,0.0,0.0,536264704.0,316956672.0,706678784.0,2191806464.0,4278.0,2070.0,0.0,4.0,787.0,19.0,7.0,0.0,0.0
9.068,1.763,89.169,0.0,0.0,0.0,536215552.0,316956672.0,706711552.0,2191822848.0,4468.0,1992.0,0.0,0.0,787.0,19.0,7.0,0.0,0.0
8.081,2.273,89.646,0.0,0.0,0.0,535220224.0,316956672.0,711262208.0,2188267520.0,4434.0,2004.0,0.0,1.0,787.0,19.0,7.0,0.0,0.0
4.534,1.511,92.947,1.008,0.0,0.0,535789568.0,316964864.0,707256320.0,2191695872.0,4404.0,1848.0,0.0,3.0,787.0,19.0,7.0,0.0,0.0
4.511,1.754,92.982,0.752,0.0,0.0,535941120.0,316973056.0,707317760.0,2191474688.0,6680.0,3058.0,0.0,4.0,786.0,18.0,7.0,0.0,0.0
